recipeNumber	stepNumber	stepTitle	stepDescription
31	11	Step 11	Make 3 small cuts in the base of each Zonut. Place the crème chantilly filling in a piping bag fitted with a small nozzle. Insert the nozzle into the cuts and pipe in the filling. Toss Zonuts in caster sugar to coat. Spoon the icing over Zonuts. Set aside until set.
32	1	Step 1	Make the gingerbread dough: Stir the butter, sugar and glucose in a large saucepan over medium-low heat for 10 minutes or until sugar dissolves (don't allow mixture to get too hot). Stir in milk until just combined. Remove from heat. Sift the flour, bicarbonate of soda, cinnamon, cloves and ginger into a large bowl. Add to the milk mixture. Return the saucepan to a low heat and stir to a stiff, paste-like consistency (see below). Divide the mixture into four 450g portions and two 375g portions. Flatten each portion into a square. Wrap in plastic wrap. Place in the fridge for 1 hour or until just firm.
32	2	Step 2	'Glass' for the windows: Unwrap boiled lollies. Process in a food processor to a fine powder. Store in an airtight container until needed.
32	3	Step 3	Walls and roof: Preheat oven to 180°C/160°C fan forced.
32	4	Step 4	To make back wall, roll out a 450g dough portion on a sheet of floured baking paper to 3mm thick. Use the front/back stencil to cut out back wall. Reserve trimmings. Transfer with paper to a large baking tray. Cut out a 6cm square window two-thirds up the wall from the base. Add to reserved trimmings. Fill window hole with powdered lollies in a layer the same thickness as the dough. Bake for 20 minutes or until golden. Working quickly, lightly scatter window with caster sugar to create a frosted effect. Cool for 10 minutes on tray. Slide off the tray using the paper. Cool completely. Cool tray slightly.
32	5	Step 5	To make front wall, repeat rolling and cutting with another 450g dough portion and front/back stencil. Transfer with paper to cooled tray. Cut out a door 10cm high x 5cm wide at base of wall, creating an arch at the top. Reserve door. Cut out 4 small windows on the door piece. Use a small piece of reserved trimmings to make a door knob and attach to door. Transfer door to tray. Above door, cut out a 6cm square window, then above that, a 3cm round. On both sides of door, cut out 1 window, 7cm high with a top width of 5cm and bottom of 2cm. Add to reserved trimmings. Fill the windows with powdered lollies. Bake, then frost the glass with caster sugar, as before.
32	6	Step 6	To make roof pieces, roll out remaining two 450g dough portions as before. Use the roof stencil to cut out 2 roof pieces, then bake as before. To make side walls, roll out a 375g dough portion as before. Use sides stencil to cut out 1 side wall, reserving trimmings. Transfer to tray with paper, then cut out a window 10cm wide x 4cm tall (it will become 2 windows once shutters are added). Add to reserved trimmings. Fill window with powdered lollies. Bake, then frost glass, as before. Repeat with remaining 375g dough portion.
32	7	Step 7	Chimney, shutters and eaves: Roll out half the reserved trimmings as before. Use chimney stencil to cut out chimney pieces. Cut out a 5cm square for the door eave and 2 small right-angled triangles for eave supports. Roll out the remaining trimmings, dust with cocoa, then roll the cocoa into the dough to colour. Cut out 12 shutter pieces, 2cm wide x 7cm high, and 4 shutter pieces, 2cm wide x 9cm high. Transfer to oven tray. Using a knife, mark shutters to create slats. Bake for 15 minutes or until golden.
32	8	Step 8	Caramel crunch brickwork: Process almonds and corn flakes in a food processor to fine crumbs. Place chocolate, butter and 1 tsp sea salt flakes in a heatproof bowl over a saucepan of simmering water (make sure bowl doesn’t touch the water) until the chocolate melts (don’t let it get too hot). Remove the bowl from the pan. Stir in the almond mixture. Use a spatula or knife to spread the mixture thinly over the front, back and side walls, avoiding windows. Use a knife to lightly score a brick pattern into the mixture. Cool until set.
32	9	Step 9	Chocolate roof tiles: Use a black marker to mark 3cm squares on a sheet of A4 paper to cover. Cover marked paper with a sheet of baking paper. Melt 1 packet of chocolate melts in a large heatproof bowl as before. Thinly spread chocolate over paper, leaving a 3cm border so you can see ends of marked lines. Shake paper gently to level, then generously scatter with 100s & 1000s. Cool until almost set. Following the marked lines, cut the chocolate into tiles. Repeat with remaining melted chocolate and 100s & 1000s. You will need about 80 tiles.
32	10	Step 10	Tiling the roof: Melt 1/2 packet of chocolate melts as before. Spread over 1 roof piece to cover. Working quickly, stick on tiles. Use more melted chocolate as glue. Assemble the chimney pieces. Attach the chimney to the second roof piece. Spread remaining melted chocolate over the second roof piece, avoiding the chimney, then stick on the remaining tiles.
32	11	Step 11	Assembling the house: Melt remaining 1 1/2 packets of chocolate melts as before. Spoon into a piping bag. Cool slightly.
32	12	Step 12	Use melted chocolate as glue to attach the long shutters to the front downstairs windows, then attach shorter shutters to all the other windows. Attach a second set of shutters to the centre of each window. Attach eave, side supports and door to the front of the house (use small objects, such as bottle lids, to support the pieces while the chocolate sets)
32	13	Step 13	Using melted chocolate as glue, decorate the chimney and front, back and sides of house with assorted lollies.
32	14	Step 14	On a platter, prop up the walls so they are close to their final position (ask someone to hold them in position or use weighted boxes or bottles as props). Pipe a generous amount of chocolate along the edges of the walls where they will meet. Gently press the walls together to seal, then firmly prop between boxes to hold the structure in place while it sets. Run your finger over the chocolate seams to spread them evenly and to seal any gaps. Pipe chocolate over the top edges of the walls, then attach the roof pieces, sealing with plenty of chocolate. Use more melted chocolate to attach licorice ropes along the eaves. The gingerbread house will keep for up to 2 weeks.
33	1	Step 1	Place chocolate and cream in a microwave-safe bowl. Microwave on high for 1 minute. Stir until smooth.
33	2	Step 2	Stir in liqueur. Refrigerate for 2 hours or until almost firm.
33	3	Step 3	Roll 1 teaspoon of chocolate mixture into a ball. Place on a tray lined with baking paper. Repeat with remaining chocolate mixture. Roll half the balls in hazelnut and half in cocoa powder. Refrigerate until just before serving.
34	1	Step 1	To make the lemon sour cream cake, preheat oven to 160C. Grease and line the base and two long sides of a 10 x 20cm (base measurement) loaf pan.
34	2	Step 2	Use an electric mixer to beat the butter, sugar and lemon rind in a medium bowl until pale and creamy. Add the eggs, one at a time, beating well after each addition. Add the combined flours and sour cream and stir until just combined.
34	3	Step 3	Spoon into the prepared pan and use a palet knife or the back of a spoon to smooth the surface. Bake in preheated oven for 1 hour or until a skewer inserted in the centre comes out clean. Remove from oven and set aside for 5 minutes before turning on a wire rack to cool completely.
34	4	Step 4	Use a serrated knife to trim the crusts of the cake. Break the cake into small pieces and transfer to the bowl of a food processor. Process until fine crumbs form. Transfer to a bowl.
34	5	Step 5	Place the cream cheese and icing sugar in a food processor and process until smooth and well combined. Add to the cake crumbs and stir until well combined.
34	6	Step 6	Line an oven tray with baking paper. Dust a clean work surface with icing sugar mixture. Shape cake mixture into a 1.5cm-thick disc. Use a 4.5cm star shaped pastry cutter to cut stars from the cake mixture and place on the lined tray, rerolling any excess cake mixture. Loosely cover with plastic wrap and place in the fridge for 1 hour or until firm.
34	7	Step 7	Place the white chocolate melts in a heatproof bowl over a saucepan half-filled with simmering water. Stir with a metal spoon until chocolate melts.
34	8	Step 8	Dip the end of 1 lollypop stick in chocolate then insert into the bottom of a star. Return to the tray. Repeat with remaining cake stars.
34	9	Step 9	Dip 1 cake star into the melted chocolate, turning to coat. Gently tap on the side of the bowl to remove excess chocolate. Return to the lined tray and sprinkle with star sprinkles while the chocolate is melted. Repeat with remaining stars, chocolate and sprinkles. Set aside for 30 minutes to set completely.
35	1	Step 1	Scoop ice-cream into 4 chilled bowls or cups, pour 30ml of liqueur over each. Top with hot coffee and serve immediately.
36	1	Step 1	Place generous scoops of ice-cream into individual serving glasses. Serve together with individual shot glasses of coffee and Frangelico. When ready to eat, guests pour coffee and liqueur over ice-cream. Serve with biscotti.
37	1	Step 1	Fill 4 small serving glasses with 2-3 scoops of low-fat ice-cream or gelato. Top the ice-cream with a shot (30ml) of hot espresso coffee and serve. For a real lift, add an extra shot of chocolate or coffee-flavoured liqueur.
38	1	Step 1	Combine coffee and liqueur in a jug. Divide ice-cream between glasses.
38	2	Step 2	Divide coffee mixture between glasses. Serve with biscotti.
39	1	Step 1	Grease and line a 1-litre loaf pan or terrine (we used a pyramid mould from kitchenware shops) with baking paper or plastic wrap, leaving some overhanging the sides.
39	2	Step 2	Place the coffee, sugar and vanilla bean and seeds in a small saucepan over high heat. Bring to the boil, then reduce heat to low and simmer for 10 minutes until slightly reduced. Cool slightly.
39	3	Step 3	Beat the egg yolks in the bowl of an electric mixer until pale and frothy. With the motor running, gradually add one third of the warm coffee syrup until incorporated (reserving the rest to serve), followed by the 1/4 cup (60ml) Frangelico. Beat in mascarpone to combine.
39	4	Step 4	In a separate bowl, whip the cream to soft peaks, then fold into the egg mixture, keeping as much air in the mixture as possible. Pour the mixture into the terrine or mould, cover with the overhanging paper or wrap, and freeze overnight until firm.
39	5	Step 5	If desired, stir the extra 2 tablespoons of Frangelico into the remaining syrup, then refrigerate until needed.
39	6	Step 6	When ready to serve, turn out the terrine onto a platter and slice 2cm thick. Divide among plates, then drizzle with the reserved coffee syrup and garnish with chocolate-coated coffee beans.
40	1	Step 1	Combine the coffee, tequila and coffee liqueur in a heatproof jug.
40	2	Step 2	Spoon the ice-cream among serving glasses. Pour over the coffee mixture and serve immediately.
41	1	Step 1	Preheat oven to 180C/160C fan-forced. Grease 2 large baking trays and line with baking paper.
41	2	Step 2	Using an electric mixer, beat butter and sugar together until light and fluffy. Add cocoa and flour. Beat on low speed until combined. Stir in cornflakes. Roll level tablespoons of mixture into balls. Flatten slightly. Place onto prepared trays, 4cm apart, to allow room for spreading during cooking.
41	3	Step 3	Bake for 15 to 18 minutes or until just firm to the touch, swapping trays halfway through cooking. Cool completely on trays.
